drug_name_raw,therapeutic_raw,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_raw,toxic_min_mg_L,toxic_max_mg_L,comatose_raw,comatose_min_mg_L,thalf_raw,references,unit_flag,source,page
Abacavir (ABC),0.9-3.9,0.9,3.9,,,,,,appr. 1.5,"[1, 2]",,Schulz_2020_CritCare,1
Abiraterone,appr. 0.02-0.2,0.02,0.2,,,,,,12,[780],,Schulz_2020_CritCare,1
Acamprosate,0.25-0.7,0.25,0.7,1,1,1,,,(3-) 13-20 (-33),[3-5],,Schulz_2020_CritCare,1
Acebutolol,0.2-2 (0.5-1.26),0.2,2,,,,15-20,15,3-11,[6-8],,Schulz_2020_CritCare,1
Acecarbromal(um),10-20 (sum),10,20,25-30,25,30,,,,"[8, 9], [13]",,Schulz_2020_CritCare,1
Acenocoumarol,0.03-0.1,0.03,0.1,0.1-0.15,0.1,0.15,,,3-11,"[3], [9-11]",,Schulz_2020_CritCare,1
Acetaldehyde,0-30,0,30,100-125,100,125,,,,"[10, 11]",,Schulz_2020_CritCare,1
Acetazolamide,(4-) 10-20,10,20,25-30,25,30,,,2-6 (-13),"[3], [11-14]",,Schulz_2020_CritCare,2
Acetohexamide,20-70,20,70,500,500,500,,,1.3,"[15], [779]",,Schulz_2020_CritCare,2
Acetone,(2-) 5-20,5,20,100-400; 2000,100,400,550,550,(6-) 8-31,"[11], [16, 17]",,Schulz_2020_CritCare,2
Acetonitrile,,,,,,,0.77,0.77,32,[11],,Schulz_2020_CritCare,2
Acetylfentanyl,,,,,,,0.23-0.27,0.23,,[945-947],,Schulz_2020_CritCare,2
"Acetylsalicylic acid (aspirin, ASS, ASA)",20-200,20,200,300-350,300,350,(400-) 500,500,3-20,[28-34],,Schulz_2020_CritCare,2
Acitretin,0.01-0.29 (-0.5),0.01,0.29,,,,,,2-4 days,"[35, 36], [948, 949]",,Schulz_2020_CritCare,2
Acrivastine,-0.07,-0.07,-0.07,,,,,,1-2,[8],,Schulz_2020_CritCare,2
Acrylfentanyl,,,,,,,0.01-5 ng/g; 0.5-2.1 ng/mL,0.01,,"[950, 951], [1071]",NON-MGL:comatose:'ng/g':'0.01-5 ng/g; 0.5-2.1 ng/mL',Schulz_2020_CritCare,2
Acyclovir,0.4-1.5,0.4,1.5,,,,,,2-5,"[3], [10], [37-39]",,Schulz_2020_CritCare,2
Adalimumab,≥ 4.9 (5-9),4.9,4.9,,,,,,appr. 14 days,"[40], [787]",,Schulz_2020_CritCare,2
Adipiodone(-meglumine),850-1200,850,1200,,,,,,0.5,[41],,Schulz_2020_CritCare,3
Agomelatine,0.007-0.3,0.007,0.3,0.6,0.6,0.6,,,1-2,[4],,Schulz_2020_CritCare,3
AH-7921,,,,,,,350 (30-9100) ng/mL,350,,"[1011], [1041], [1071]",NON-MGL:comatose:'ng/mL':'350 (30-9100) ng/mL',Schulz_2020_CritCare,3
Ajmaline,(0.1-) 0.53-2.21 (?),0.53,2.21,,,,5.5,5.5,"1.3-1.6, 5-6","[3], [42], [952]",,Schulz_2020_CritCare,3
Albendazole,0.5-1.5,0.5,1.5,,,,,,8-9,[43-46],,Schulz_2020_CritCare,3
Alcuronium,0.3-3,0.3,3,,,,,,3.3 ± 1.3,[47],,Schulz_2020_CritCare,3
Aldrin,-0.0015,-0.0015,-0.0015,0.0035,0.0035,0.0035,,,50-167 days (as dieldrin),"[11], [48]",,Schulz_2020_CritCare,3
Alendronate (Alendronic acid),< 0.005,0.005,0.005,,,,,,1-2; terminal: days,"[49-51], [999]",,Schulz_2020_CritCare,3
Alfentanil,0.03-0.6,0.03,0.6,,,,0.1-0.2,0.1,0.6-2.3,"[52-55], [1071]",,Schulz_2020_CritCare,3
Alfuzosine,0.003-0.06,0.003,0.06,0.12,0.12,0.12,,,3-9,"[8], [780]",,Schulz_2020_CritCare,3
Alimemazine (Trimeprazine),0.05-0.4,0.05,0.4,0.5,0.5,0.5,1-3.2,1,8,"[56, 57]",,Schulz_2020_CritCare,3
Aliskiren,0.07-0.45,0.07,0.45,,,,,,30-70,[47],,Schulz_2020_CritCare,3
Alizapride,0.1-2,0.1,2,,,,,,2-3,[15],,Schulz_2020_CritCare,3
Allobarbital,2-5,2,5,10,10,10,20,20,40-48,"[8], [11], [13], [58], [779]",,Schulz_2020_CritCare,4
Allopurinol,2-19,2,19,,,,,,0.5-3,"[11], [47]",,Schulz_2020_CritCare,4
Almotriptan,0.05-0.07,0.05,0.07,,,,,,3-4,[47],,Schulz_2020_CritCare,4
Alogliptin,0.06-0.87,0.06,0.87,,,,,,21,[780],,Schulz_2020_CritCare,4
Alphaprodine,0.87-1,0.87,1,,,,,,1.6-2.6,[11],,Schulz_2020_CritCare,4
Alprazolam,0.005-0.05 (-0.08),0.005,0.05,0.1-0.4,0.1,0.4,0.3,0.3,(6-) 12-15 (-20),"[4], [56], [59-63], [1231]",,Schulz_2020_CritCare,4
Alprenolol,0.025-0.14,0.025,0.14,1-2,1,2,40-48,40,2-7,"[7, 8]",,Schulz_2020_CritCare,4
Aluminium,0.001 (< 0.005 ),0.001,0.001,0.02-0.15,0.02,0.15,4.4,4.4,160 days,"[11], [47], [64-66], [953]",,Schulz_2020_CritCare,4
Amantadine,(0.06-) 0.2-0.6 (-1),0.2,0.6,1.2 ; 2.4,1.2,1.2,21-48,21,9-15,"[4], [47, 48]",,Schulz_2020_CritCare,4
5F-AMB (5F-AMB-PINACA),,,,,,,0.3 ng/mL,0.3,,[1037],NON-MGL:comatose:'ng/mL':'0.3 ng/mL',Schulz_2020_CritCare,4
Amikacin,10-25,10,25,30,30,30,,,(0.5-) 2-3,"[67], [954]",,Schulz_2020_CritCare,4
Amiloride,0.017-0.026,0.017,0.026,,,,,,(6-) 17-24,[47],,Schulz_2020_CritCare,4
Aminobenzoic acid,300-600,300,600,600,600,600,,,,[66],,Schulz_2020_CritCare,4
Aminoglutethimide,(0.05-) 7.5-25,7.5,25,,,,,,10-15,"[8], [11]",,Schulz_2020_CritCare,4
Aminophenazone,10-20,10,20,,,,,,appr. 2-4,[15],,Schulz_2020_CritCare,4
5-(2-Aminopropyl)benzofuran (5-APB),appr. 0.1,0.1,0.1,,,,0.1-4.2,0.1,,"[781], [955]",,Schulz_2020_CritCare,5
"5-(2-Aminopropyl)indole (5-API, 5-IT)",,,,0.015-0.59,0.015,0.59,0.7-18.6 mg/kg,0.7,,"[956, 957]",,Schulz_2020_CritCare,5
4-Aminopyridine (Fampridine),0.025-0.075,0.025,0.075,0.14 ; 0.2,0.14,0.14,,,3-3.5,"[10, 11], [68]",,Schulz_2020_CritCare,5
Amiodarone,(0.5-) 1-2 (-2.5),1,2,2.5-3,2.5,3,,,30-120days,"[3], [64], [69-71]",,Schulz_2020_CritCare,5
Amisulpride,0.1-0.4,0.1,0.4,0.64,0.64,0.64,9.3 ; 41.7,9.3,12-20,"[4], [8], [72], [958]",,Schulz_2020_CritCare,5
Amitriptyline Amitriptyline + Nortriptyline,0.05-0.3 0.08-0.2,0.05,0.3,0.5-0.6 0.3,0.5,0.6,1.5-2,1.5,(10-) 30-50,"[4], [56], [73-83], [1084], [1231]",,Schulz_2020_CritCare,5
Amlodipine,0.003-0.015,0.003,0.015,0.088,0.088,0.088,0.1-0.2,0.1,34-50,"[84-86], [780], [1064], [1151]",,Schulz_2020_CritCare,5
Ammonia,0.5-1.7,0.5,1.7,,,,,,,[11],,Schulz_2020_CritCare,5
Amobarbital,1-5,1,5,(5-6) 10-30,10,30,13-96,13,15-30,"[48], [87]",,Schulz_2020_CritCare,5
Amodiaquine,-0.05,-0.05,-0.05,,,,,,-,[88],,Schulz_2020_CritCare,5
Amoxapine,0.18-0.6,0.18,0.6,3,3,3,5,5,8,[9],,Schulz_2020_CritCare,5
Amoxicillin,0.5-1 (5-15),0.5,1,,,,,,1-2,[15],,Schulz_2020_CritCare,5
Amphetamine,0.02-0.1,0.02,0.1,0.2,0.2,0.2,0.5-1,0.5,4-8 (7-34),"[66], [89]",,Schulz_2020_CritCare,5
Amphotericin B,(0.1-) 0.2-3,0.2,3,(3-) 5-10,5,10,5.3,5.3,24-48,"[47], [90-93]",,Schulz_2020_CritCare,5
Ampicillin,0.02-2 (2-20),0.02,2,,,,,,1,[67],,Schulz_2020_CritCare,5
Amrinone,1-2 (-4),1,2,,,,,,3-12,"[3], [94, 95]",,Schulz_2020_CritCare,6
Amsacrine,(0.1-) 1-5.5,1,5.5,,,,,,5-7,[96],,Schulz_2020_CritCare,6
Anileridine,< 0.5,0.5,0.5,,,,0.9,0.9,,"[11], [48]",,Schulz_2020_CritCare,6
Aniline,-0.02 (urine),-0.02,-0.02,0.13,0.13,0.13,6,6,(2-) 3-4 (-7),"[11], [47, 48], [97-99]",,Schulz_2020_CritCare,6
Antimony,-0.01,-0.01,-0.01,0.05-0.2,0.05,0.2,,,,"[64], [100], [959]",,Schulz_2020_CritCare,6
Apixaban,appr. 0.03-0.3,0.03,0.3,,,,0.39,0.39,9-14,"[794-797], [960]",,Schulz_2020_CritCare,6
Apomorphine,0.002-0.02,0.002,0.02,,,,,,appr. 0.75,"[3], [10]",,Schulz_2020_CritCare,6
Aprindine,1-2,1,2,2-3,2,3,,,13-50,"[15], [58]",,Schulz_2020_CritCare,6
Aprobarbital,4-20,4,20,30-40,30,40,50,50,14-34,"[11], [47], [58]",,Schulz_2020_CritCare,6
Aripiprazole Aripiprazole + Dehydroaripiprazole,0.1-0.35 0.15-0.5,0.1,0.35,1,1,1,1.9,1.9,60-80,"[4], [101, 102], [798]",,Schulz_2020_CritCare,6
Armodafinil,0.001-0.01,0.001,0.01,,,,,,10-20,"[47], [780]",,Schulz_2020_CritCare,6
Arsenic,0.002-0.012 (-0.07),0.002,0.012,0.05-0.25,0.05,0.25,0.6-9.3 (-15),0.6,10-14,"[11], [47], [64], [87], [100], [103], [799], [1230]",,Schulz_2020_CritCare,7
Articaine,< 1.5-2 (?),1.5,2,,,,,,0.3 (-1),[104],,Schulz_2020_CritCare,7
Ascorbic acid (Vitamin C),4-15,4,15,,,,,,days,"[3], [105-108], [800]",,Schulz_2020_CritCare,7
Asenapine,0.001-0.005,0.001,0.005,0.01,0.01,0.01,,,13-39,[4],,Schulz_2020_CritCare,7
Astemizole,0.002-0.05,0.002,0.05,14,14,14,,,2-4 days,"[3], [109], [961]",,Schulz_2020_CritCare,7
Atazanavir (ATV),> 0.15,0.15,0.15,,,,,,(4-) 6.5-8.6 (-11),"[2], [47], [110, 111]",,Schulz_2020_CritCare,7
Atenolol,0.1-1 (-2),0.1,1,2-3,2,3,27,27,4-14,"[7], [42], [64], [112]",,Schulz_2020_CritCare,7
Atomoxetine,0.2-1,0.2,1,2,2,2,5.4,5.4,appr. 4,"[4], [962]",,Schulz_2020_CritCare,7
Atorvastatin,0.007-0.01 (-0.25),0.007,0.01,0.05,0.05,0.05,,,11-24,"[47], [780], [1063]",,Schulz_2020_CritCare,7
Atovaquone,13.9 ± 6.9 (> 15),13.9,13.9,,,,,,2-3days,[113],,Schulz_2020_CritCare,7
Atracurium(besylate),0.1-0.5 (-5),0.1,0.5,,,,,,appr. 0.5,"[47], [58]",,Schulz_2020_CritCare,7
Atropine,0.002-0.025,0.002,0.025,0.03-0.1,0.03,0.1,0.2,0.2,"2-6.5, 13-38","[11], [66], [114]",,Schulz_2020_CritCare,7
Avanafil,-,,,,,,,,6-20,[47],,Schulz_2020_CritCare,7
Avobenzone,0.001-0.009,0.001,0.009,,,,,,(29-) 74-112 (-480),"[801], [1122]",,Schulz_2020_CritCare,7
Azapropazone (Apazone),40-90,40,90,,,,,,8-24,"[8], [13]",,Schulz_2020_CritCare,7
Azathioprine,0.05-2,0.05,2,,,,,,1-2 (-4),"[13], [15], [123]",,Schulz_2020_CritCare,8
Azelastine,0.002-0.003 (-0.01),0.002,0.003,,,,,,22-25,[15],,Schulz_2020_CritCare,8
Azelnidipine,< 0.03 ?,0.03,0.03,,,,,,(9-) 14-20,"[802, 803]",,Schulz_2020_CritCare,8
Azilsartan medoxomil,appr. 4-5,4,5,,,,,,12-20,[47],,Schulz_2020_CritCare,8
Azithromycin,appr. 0.04-1,0.04,1,,,,,,50-60 (2-4 days),[115-119],,Schulz_2020_CritCare,8
