drug_name_raw,query_name,status,cid,smiles,mw,logp,iupac
Adalimumab,Adalimumab,no_match:404,,,,,
AH-7921,AH-,no_match:404,,,,,
Aminobenzoic acid,Aminobenzoic acid; Aminobenzoic,no_match:404,,,,,
Ascorbic acid (Vitamin C),Ascorbic acid (Vitamin C); Ascorbic acid; Ascorbic,no_match:404,,,,,
Bismut (Bismuth),Bismut (Bismuth); Bismut,no_match:404,,,,,
Brexiprazole,Brexiprazole,no_match:404,,,,,
"Bromobenzodifuranylisopropylamine (Bromo-DragonFLY, BDF)","Bromobenzodifuranylisopropylamine (Bromo-DragonFLY, BDF); Bromobenzodifuranylisopropylamine",no_match:404,,,,,
Buturylfentanyl,Buturylfentanyl,no_match:404,,,,,
Cisaprid,Cisaprid,no_match:404,,,,,
Clotiapin,Clotiapin,no_match:404,,,,,
Cresol (Methylphenols),Cresol (Methylphenols); Cresol,no_match:404,,,,,
Cyamenazine,Cyamenazine,no_match:404,,,,,
"1-Cyclohexyl-4-(1,2- diphenylethyl)piperazine (MT-45)","1-Cyclohexyl-4-(1,2- diphenylethyl)piperazine (MT-45); 1-Cyclohexyl-4-(1,2- diphenylethyl)piperazine; 1-Cyclohexyl-4-(1",no_match:404,,,,,
Des(methyl)venlafaxine,Des(methyl)venlafaxine,no_match:404,,,,,
"3,4-Diaminopyridin (DAP)","3,4-Diaminopyridin (DAP); 3,4-Diaminopyridin",no_match:404,,,,,
Diethylene glycol,Diethylene glycol; Diethylene,no_match:404,,,,,
"4,6-Dinitro-2-methylphenol (Dinitro-O (ortho)-cresol [DNOC])","4,6-Dinitro-2-methylphenol (Dinitro-O (ortho)-cresol [DNOC])",no_match:404,,,,,
Drotrecogin alfa,Drotrecogin alfa; Drotrecogin,no_match:404,,,,,
Eptinezumab,Eptinezumab,no_match:404,,,,,
Erenumab,Erenumab,no_match:404,,,,,
Etacrynic acid (Ethacrynic acid),Etacrynic acid (Ethacrynic acid); Etacrynic acid; Etacrynic,no_match:404,,,,,
"5-Fluoro ADB (Methyl 2-[1-(5- fluoropentyl)-1H-indazole-3- carboxamide]-3,3-dimethylbutanoate = 5-Fluoro MDMB-PINACA)","5-Fluoro ADB (Methyl 2-[1-(5- fluoropentyl)-1H-indazole-3- carboxamide]-3,3-dimethylbutanoate = 5-Fluoro MDMB-PINACA); 5-Fluoro",no_match:404,,,,,
Fluorofentanyl,Fluorofentanyl,no_match:404,,,,,
4-Fluoromethlyphenidate,4-Fluoromethlyphenidate,no_match:404,,,,,
5F-PB-22,5F-PB-; 5F-PB,no_match:404,,,,,
Fremanezumab,Fremanezumab,no_match:404,,,,,
Furanyl fentanyl,Furanyl fentanyl; Furanyl,no_match:404,,,,,
Fusidic acid,Fusidic acid; Fusidic,no_match:404,,,,,
Galcanezumab,Galcanezumab,no_match:404,,,,,
"ß-Hexachlorocyclohexane (ß-HCH, ß-Lindane)","ß-Hexachlorocyclohexane (ß-HCH, ß-Lindane); ß-Hexachlorocyclohexane",no_match:404,,,,,
Hirudin-rec,Hirudin-rec,no_match:404,,,,,
Ibandronat (Ibandronic acid),Ibandronat (Ibandronic acid); Ibandronat,no_match:404,,,,,
Abacavir (ABC),Abacavir,match,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,286.33,0.9,"[(1S,4R)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol"
Abiraterone,Abiraterone,match,132971,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,349.5,4.6,"(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-ol"
Acamprosate,Acamprosate,match,71158,CC(=O)NCCCS(=O)(=O)O,181.21,-1.2,3-acetamidopropane-1-sulfonic acid
Acebutolol,Acebutolol,match,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,336.4,1.7,N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide
Acecarbromal(um),Acecarbromal,match,6489,CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,279.13,2.3,N-(acetylcarbamoyl)-2-bromo-2-ethylbutanamide
Acenocoumarol,Acenocoumarol,match,54676537,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,353.3,2.5,4-hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]chromen-2-one
Acetaldehyde,Acetaldehyde,match,177,CC=O,44.05,-0.3,acetaldehyde
Acetazolamide,Acetazolamide,match,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.3,-0.3,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide"
