drug_name_raw,query_name,cid,smiles,mw,logp,iupac,source
Abacavir (ABC),Abacavir,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,286.33,0.9,"[(1S,4R)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol",pubchem_rest
Abiraterone,Abiraterone,132971,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,349.5,4.6,"(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-ol",pubchem_rest
Acamprosate,Acamprosate,71158,CC(=O)NCCCS(=O)(=O)O,181.21,-1.2,3-acetamidopropane-1-sulfonic acid,pubchem_rest
Acebutolol,Acebutolol,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,336.4,1.7,N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide,pubchem_rest
Acecarbromal(um),Acecarbromal,6489,CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,279.13,2.3,N-(acetylcarbamoyl)-2-bromo-2-ethylbutanamide,pubchem_rest
Acenocoumarol,Acenocoumarol,54676537,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,353.3,2.5,4-hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]chromen-2-one,pubchem_rest
Acetaldehyde,Acetaldehyde,177,CC=O,44.05,-0.3,acetaldehyde,pubchem_rest
Acetazolamide,Acetazolamide,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.3,-0.3,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide",pubchem_rest
Acetohexamide,Acetohexamide,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,324.4,2.4,1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea,pubchem_rest
Acetone,Acetone,180,CC(=O)C,58.08,-0.1,propan-2-one,pubchem_rest
Acetonitrile,Acetonitrile,6342,CC#N,41.05,0,acetonitrile,pubchem_rest
Acetylfentanyl,Acetylfentanyl,527015,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,322.4,3.6,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]acetamide,pubchem_rest
"Acetylsalicylic acid (aspirin, ASS, ASA)",Acetylsalicylic acid,2244,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,2-acetyloxybenzoic acid,pubchem_rest
Acitretin,Acitretin,5284513,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,326.4,6.1,"(2E,4E,6E,8E)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid",pubchem_rest
Acrivastine,Acrivastine,5284514,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O,348.4,1.6,(E)-3-[6-[(E)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-enyl]-2-pyridinyl]prop-2-enoic acid,pubchem_rest
Acrylfentanyl,Acrylfentanyl,10314851,C=CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,334.5,4.2,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide,pubchem_rest
Acyclovir,Acyclovir,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.20,-1.9,2-amino-9-(2-hydroxyethoxymethyl)-1H-purin-6-one,pubchem_rest
