scope,nominal_interval_frac,empirical_coverage,n_mc,mc_log_sd,n_concentration_points
theophylline,0.5,0.49615384615384617,1000,0.3,260
theophylline,0.535,0.5269230769230769,1000,0.3,260
theophylline,0.57,0.5692307692307692,1000,0.3,260
theophylline,0.605,0.6153846153846154,1000,0.3,260
theophylline,0.64,0.6307692307692307,1000,0.3,260
theophylline,0.675,0.6461538461538462,1000,0.3,260
theophylline,0.71,0.7115384615384616,1000,0.3,260
theophylline,0.745,0.7384615384615385,1000,0.3,260
theophylline,0.78,0.7807692307692308,1000,0.3,260
theophylline,0.815,0.8076923076923077,1000,0.3,260
theophylline,0.85,0.85,1000,0.3,260
theophylline,0.885,0.8961538461538462,1000,0.3,260
theophylline,0.9199999999999999,0.9230769230769231,1000,0.3,260
theophylline,0.955,0.9346153846153846,1000,0.3,260
theophylline,0.99,0.9615384615384616,1000,0.3,260
warfarin,0.5,0.5115384615384615,1000,0.3,260
warfarin,0.535,0.5346153846153846,1000,0.3,260
warfarin,0.57,0.5423076923076923,1000,0.3,260
warfarin,0.605,0.5615384615384615,1000,0.3,260
warfarin,0.64,0.6153846153846154,1000,0.3,260
warfarin,0.675,0.6461538461538462,1000,0.3,260
warfarin,0.71,0.6653846153846154,1000,0.3,260
warfarin,0.745,0.7230769230769231,1000,0.3,260
warfarin,0.78,0.75,1000,0.3,260
warfarin,0.815,0.7961538461538461,1000,0.3,260
warfarin,0.85,0.8730769230769231,1000,0.3,260
warfarin,0.885,0.9076923076923077,1000,0.3,260
warfarin,0.9199999999999999,0.9230769230769231,1000,0.3,260
warfarin,0.955,0.9346153846153846,1000,0.3,260
warfarin,0.99,0.9346153846153846,1000,0.3,260
midazolam,0.5,0.6307692307692307,1000,0.3,260
midazolam,0.535,0.6461538461538462,1000,0.3,260
midazolam,0.57,0.6846153846153846,1000,0.3,260
midazolam,0.605,0.6961538461538461,1000,0.3,260
midazolam,0.64,0.7192307692307692,1000,0.3,260
midazolam,0.675,0.7384615384615385,1000,0.3,260
midazolam,0.71,0.7769230769230769,1000,0.3,260
midazolam,0.745,0.8115384615384615,1000,0.3,260
midazolam,0.78,0.8076923076923077,1000,0.3,260
midazolam,0.815,0.85,1000,0.3,260
midazolam,0.85,0.8692307692307693,1000,0.3,260
midazolam,0.885,0.8846153846153846,1000,0.3,260
midazolam,0.9199999999999999,0.8961538461538462,1000,0.3,260
midazolam,0.955,0.9076923076923077,1000,0.3,260
midazolam,0.99,0.926923076923077,1000,0.3,260
caffeine,0.5,0.47692307692307695,1000,0.3,260
caffeine,0.535,0.5153846153846153,1000,0.3,260
caffeine,0.57,0.5346153846153846,1000,0.3,260
caffeine,0.605,0.55,1000,0.3,260
caffeine,0.64,0.5961538461538461,1000,0.3,260
caffeine,0.675,0.6346153846153846,1000,0.3,260
caffeine,0.71,0.6576923076923077,1000,0.3,260
caffeine,0.745,0.6730769230769231,1000,0.3,260
caffeine,0.78,0.7153846153846154,1000,0.3,260
caffeine,0.815,0.7307692307692307,1000,0.3,260
caffeine,0.85,0.7807692307692308,1000,0.3,260
caffeine,0.885,0.8153846153846154,1000,0.3,260
caffeine,0.9199999999999999,0.8346153846153846,1000,0.3,260
caffeine,0.955,0.8615384615384616,1000,0.3,260
caffeine,0.99,0.9192307692307692,1000,0.3,260
acetaminophen,0.5,0.5346153846153846,1000,0.3,260
acetaminophen,0.535,0.5538461538461539,1000,0.3,260
acetaminophen,0.57,0.5769230769230769,1000,0.3,260
acetaminophen,0.605,0.6,1000,0.3,260
acetaminophen,0.64,0.6230769230769231,1000,0.3,260
acetaminophen,0.675,0.6346153846153846,1000,0.3,260
acetaminophen,0.71,0.6423076923076924,1000,0.3,260
acetaminophen,0.745,0.6538461538461539,1000,0.3,260
acetaminophen,0.78,0.7307692307692307,1000,0.3,260
acetaminophen,0.815,0.7384615384615385,1000,0.3,260
acetaminophen,0.85,0.7923076923076923,1000,0.3,260
acetaminophen,0.885,0.8538461538461538,1000,0.3,260
acetaminophen,0.9199999999999999,0.8769230769230769,1000,0.3,260
acetaminophen,0.955,0.9346153846153846,1000,0.3,260
acetaminophen,0.99,0.9538461538461539,1000,0.3,260
digoxin,0.5,0.4461538461538462,1000,0.3,260
digoxin,0.535,0.5,1000,0.3,260
digoxin,0.57,0.5423076923076923,1000,0.3,260
digoxin,0.605,0.6192307692307693,1000,0.3,260
digoxin,0.64,0.6538461538461539,1000,0.3,260
digoxin,0.675,0.6961538461538461,1000,0.3,260
digoxin,0.71,0.7076923076923077,1000,0.3,260
digoxin,0.745,0.7384615384615385,1000,0.3,260
digoxin,0.78,0.7807692307692308,1000,0.3,260
digoxin,0.815,0.7884615384615384,1000,0.3,260
digoxin,0.85,0.8192307692307692,1000,0.3,260
digoxin,0.885,0.8692307692307693,1000,0.3,260
digoxin,0.9199999999999999,0.9153846153846154,1000,0.3,260
digoxin,0.955,0.9538461538461539,1000,0.3,260
digoxin,0.99,0.9653846153846154,1000,0.3,260
ALL_DRUGS_POOLED,0.5,0.5173076923076924,1000,0.3,1560
ALL_DRUGS_POOLED,0.535,0.5480769230769231,1000,0.3,1560
ALL_DRUGS_POOLED,0.57,0.5782051282051283,1000,0.3,1560
ALL_DRUGS_POOLED,0.605,0.6019230769230769,1000,0.3,1560
ALL_DRUGS_POOLED,0.64,0.6346153846153846,1000,0.3,1560
ALL_DRUGS_POOLED,0.675,0.6641025641025641,1000,0.3,1560
ALL_DRUGS_POOLED,0.71,0.6948717948717948,1000,0.3,1560
ALL_DRUGS_POOLED,0.745,0.725,1000,0.3,1560
ALL_DRUGS_POOLED,0.78,0.7615384615384615,1000,0.3,1560
ALL_DRUGS_POOLED,0.815,0.7961538461538461,1000,0.3,1560
ALL_DRUGS_POOLED,0.85,0.8314102564102565,1000,0.3,1560
ALL_DRUGS_POOLED,0.885,0.8615384615384616,1000,0.3,1560
ALL_DRUGS_POOLED,0.9199999999999999,0.892948717948718,1000,0.3,1560
ALL_DRUGS_POOLED,0.955,0.9173076923076923,1000,0.3,1560
ALL_DRUGS_POOLED,0.99,0.9442307692307692,1000,0.3,1560
