drug,covariate,coefficient,R2,p_value
theophylline,weight_kg,-0.36565207,0.34866784,6.12364165e-03
theophylline,dose_mg,0.0,0.0,1.0
theophylline,dose_mgkg,7.83645110,0.34638990,6.33551178e-03
theophylline,age_years,-0.19120012,0.07136568,2.54860813e-01
theophylline,sex,3.66612724,0.02894491,4.73301977e-01
warfarin,weight_kg,-0.00674017,0.21867309,3.76090123e-02
warfarin,dose_mg,0.0,0.0,1.0
warfarin,dose_mgkg,4.67434889,0.19090332,5.40705249e-02
warfarin,age_years,0.00357620,0.06840045,2.65350073e-01
warfarin,sex,-0.07133038,0.02472924,5.07892277e-01
midazolam,weight_kg,-0.00000829,0.20096629,4.74360660e-02
midazolam,dose_mg,0.0,0.0,1.0
midazolam,dose_mgkg,0.00679339,0.32487608,8.69590850e-03
midazolam,age_years,0.00000036,0.00035731,9.36954557e-01
midazolam,sex,-0.00011179,0.05370707,3.25535944e-01
caffeine,weight_kg,0.11017928,0.02239119,5.28911668e-01
caffeine,dose_mg,0.0,0.0,1.0
caffeine,dose_mgkg,-1.90710442,0.00942904,6.83815584e-01
caffeine,age_years,-0.05953602,0.01116035,6.57569610e-01
caffeine,sex,1.82690924,0.01537862,6.02436161e-01
acetaminophen,weight_kg,0.13078362,0.00634503,7.38511826e-01
acetaminophen,dose_mg,0.0,0.0,1.0
acetaminophen,dose_mg_per_kg,-0.71446636,0.01239226,6.40326929e-01
acetaminophen,log_dose_mg_per_kg,-10.44598829,0.00959107,6.81246185e-01
acetaminophen,age_years,-0.41060736,0.05435593,3.22548026e-01
acetaminophen,sex,4.08112324,0.00847515,6.99482357e-01
digoxin,weight_kg,-0.00000001,0.40157089,2.69992369e-03
digoxin,dose_mg,0.0,0.0,1.0
digoxin,dose_mgkg,0.00007187,0.56896341,1.21932812e-04
digoxin,age_years,-0.00000000,0.04321662,3.79131609e-01
digoxin,sex,-0.00000006,0.08905169,2.01255990e-01
